Symbol,Timeframe,Lot Size,TP Pips,SL Pips,Win Rate,Profit Factor,Total P/L,Total Trades,Net Pips
EURNZD_SB,1h,0.10,5.0,2.0,33.33%,1.25,2.00,6,1.9999999999997797
EURNZD_SB,1h,0.10,10.0,2.0,33.33%,2.50,12.00,6,11.999999999998678
EURNZD_SB,1h,0.10,10.0,5.0,33.33%,1.00,0.00,6,0
EURNZD_SB,1h,0.10,15.0,2.0,33.33%,3.75,22.00,6,22.000000000002018
EURNZD_SB,1h,0.10,15.0,5.0,33.33%,1.50,10.00,6,10.00000000000334
EURNZD_SB,1h,0.10,15.0,10.0,33.33%,0.75,-10.00,6,-9.999999999994458
EURNZD_SB,1h,0.10,20.0,2.0,33.33%,5.00,32.00,6,32.00000000000092
EURNZD_SB,1h,0.10,20.0,5.0,33.33%,2.00,20.00,6,20.000000000002238
EURNZD_SB,1h,0.10,20.0,10.0,33.33%,1.00,0.00,6,0.000000000004440892098500626
EURNZD_SB,1h,0.10,20.0,18.0,33.33%,0.56,-32.00,6,-32.00000000000092
EURNZD_SB,1h,0.10,36.7,2.0,16.67%,3.67,26.70,6,26.700000000001722
EURNZD_SB,1h,0.10,36.7,5.0,16.67%,1.47,11.70,6,11.700000000003374
EURNZD_SB,1h,0.10,36.7,10.0,16.67%,0.73,-13.30,6,-13.299999999993872
EURNZD_SB,1h,0.10,36.7,18.0,16.67%,0.41,-53.30,6,-53.30000000000057
EURNZD_SB,1h,0.10,36.7,34.0,83.33%,5.40,149.50,6,149.5000000000024
EURNZD_SB,1h,0.10,68.3,2.0,0.00%,-0.00,-12.00,6,-11.999999999998678
EURNZD_SB,1h,0.10,68.3,5.0,0.00%,-0.00,-30.00,6,-29.999999999996696
EURNZD_SB,1h,0.10,68.3,10.0,0.00%,-0.00,-60.00,6,-59.99999999999339
EURNZD_SB,1h,0.10,68.3,18.0,16.67%,0.76,-21.70,6,-21.700000000002277
EURNZD_SB,1h,0.10,68.3,34.0,83.33%,10.04,307.50,6,307.4999999999939
EURNZD_SB,1h,0.10,68.3,50.0,100.00%,inf,409.80,6,409.79999999999353
EURNZD_SB,1h,0.10,100.0,2.0,0.00%,-0.00,-12.00,6,-11.999999999998678
EURNZD_SB,1h,0.10,100.0,5.0,0.00%,-0.00,-30.00,6,-29.999999999996696
EURNZD_SB,1h,0.10,100.0,10.0,0.00%,-0.00,-60.00,6,-59.99999999999339
EURNZD_SB,1h,0.10,100.0,18.0,16.67%,1.11,10.00,6,9.999999999998892
EURNZD_SB,1h,0.10,100.0,34.0,83.33%,14.71,466.00,6,465.9999999999998
EURNZD_SB,1h,0.10,100.0,50.0,100.00%,inf,600.00,6,600.0000000000006
EURNZD_SB,15m,0.10,5.0,2.0,53.62%,2.89,121.00,69,120.99999999998673
EURNZD_SB,15m,0.10,10.0,2.0,33.33%,2.50,138.00,69,137.9999999999848
EURNZD_SB,15m,0.10,10.0,5.0,39.13%,1.29,60.00,69,59.99999999999318
EURNZD_SB,15m,0.10,15.0,2.0,24.64%,2.45,151.00,69,151.00000000002126
EURNZD_SB,15m,0.10,15.0,5.0,30.43%,1.31,75.00,69,75.0000000000382
EURNZD_SB,15m,0.10,15.0,10.0,43.48%,1.15,60.00,69,60.000000000059856
EURNZD_SB,15m,0.10,20.0,2.0,17.39%,2.11,126.00,69,126.00000000001299
EURNZD_SB,15m,0.10,20.0,5.0,23.19%,1.21,55.00,69,55.000000000029274
EURNZD_SB,15m,0.10,20.0,10.0,34.78%,1.07,30.00,69,30.000000000049567
EURNZD_SB,15m,0.10,20.0,18.0,49.28%,1.08,50.00,69,49.99999999999227
EURNZD_SB,15m,0.10,36.7,2.0,10.14%,2.07,132.90,69,132.90000000001822
EURNZD_SB,15m,0.10,36.7,5.0,11.59%,0.96,-11.40,69,-11.399999999961494
EURNZD_SB,15m,0.10,36.7,10.0,18.84%,0.85,-82.90,69,-82.89999999993057
EURNZD_SB,15m,0.10,36.7,18.0,34.78%,1.09,70.80,69,70.8000000000045
EURNZD_SB,15m,0.10,36.7,34.0,37.68%,0.65,-507.80,69,-507.8000000000135
EURNZD_SB,15m,0.10,68.3,2.0,8.70%,3.25,283.80,69,283.8000000000076
EURNZD_SB,15m,0.10,68.3,5.0,8.70%,1.30,94.80,69,94.8000000000282
EURNZD_SB,15m,0.10,68.3,10.0,13.04%,1.02,14.70,69,14.700000000056207
EURNZD_SB,15m,0.10,68.3,18.0,26.09%,1.34,311.40,69,311.3999999999686
EURNZD_SB,15m,0.10,68.3,34.0,28.99%,0.82,-300.00,69,-300.0000000000557
EURNZD_SB,15m,0.10,68.3,50.0,31.88%,0.64,-847.40,69,-847.3999999999744
EURNZD_SB,15m,0.10,100.0,2.0,7.25%,3.91,372.00,69,372.0000000000148
EURNZD_SB,15m,0.10,100.0,5.0,7.25%,1.56,180.00,69,180.0000000000357
EURNZD_SB,15m,0.10,100.0,10.0,11.59%,1.31,190.00,69,190.00000000006787
EURNZD_SB,15m,0.10,100.0,18.0,24.64%,1.82,764.00,69,763.9999999999892
EURNZD_SB,15m,0.10,100.0,34.0,28.99%,1.20,334.00,69,333.9999999999675
EURNZD_SB,15m,0.10,100.0,50.0,31.88%,0.94,-150.00,69,-149.9999999999486
EURNZD_SB,30m,0.10,5.0,2.0,66.67%,5.00,48.00,18,47.9999999999947
EURNZD_SB,30m,0.10,10.0,2.0,66.67%,10.00,108.00,18,107.99999999998808
EURNZD_SB,30m,0.10,10.0,5.0,66.67%,4.00,90.00,18,89.99999999999005
EURNZD_SB,30m,0.10,15.0,2.0,44.44%,6.00,100.00,18,100.00000000000675
EURNZD_SB,30m,0.10,15.0,5.0,55.56%,3.75,110.00,18,110.00000000001009
EURNZD_SB,30m,0.10,15.0,10.0,55.56%,1.88,70.00,18,70.0000000000145
EURNZD_SB,30m,0.10,20.0,2.0,22.22%,2.86,52.00,18,52.000000000003155
EURNZD_SB,30m,0.10,20.0,5.0,33.33%,2.00,60.00,18,60.00000000000672
EURNZD_SB,30m,0.10,20.0,10.0,33.33%,1.00,0.00,18,0.000000000013343992577574681
EURNZD_SB,30m,0.10,20.0,18.0,61.11%,1.75,94.00,18,93.99999999999855
EURNZD_SB,30m,0.10,36.7,2.0,5.56%,1.08,2.70,18,2.7000000000043656
EURNZD_SB,30m,0.10,36.7,5.0,11.11%,0.92,-6.60,18,-6.599999999989919
EURNZD_SB,30m,0.10,36.7,10.0,11.11%,0.46,-86.60,18,-86.59999999998108
EURNZD_SB,30m,0.10,36.7,18.0,44.44%,1.63,113.60,18,113.60000000000261
EURNZD_SB,30m,0.10,36.7,34.0,61.11%,1.70,165.70,18,165.70000000000198
EURNZD_SB,30m,0.10,68.3,2.0,5.56%,2.01,34.30,18,34.30000000000266
EURNZD_SB,30m,0.10,68.3,5.0,11.11%,1.71,56.60,18,56.60000000000667
EURNZD_SB,30m,0.10,68.3,10.0,11.11%,0.85,-23.40,18,-23.399999999984487
EURNZD_SB,30m,0.10,68.3,18.0,38.89%,2.41,280.10,18,280.0999999999899
EURNZD_SB,30m,0.10,68.3,34.0,55.56%,2.51,411.00,18,410.9999999999837
EURNZD_SB,30m,0.10,68.3,50.0,61.11%,2.15,401.30,18,401.29999999999563
EURNZD_SB,30m,0.10,100.0,2.0,5.56%,2.94,66.00,18,66.00000000000384
EURNZD_SB,30m,0.10,100.0,5.0,11.11%,2.50,120.00,18,120.00000000000901
EURNZD_SB,30m,0.10,100.0,10.0,11.11%,1.25,40.00,18,40.00000000001785
EURNZD_SB,30m,0.10,100.0,18.0,33.33%,2.78,384.00,18,383.9999999999977
EURNZD_SB,30m,0.10,100.0,34.0,55.56%,3.68,728.00,18,727.9999999999955
EURNZD_SB,30m,0.10,100.0,50.0,61.11%,3.14,750.00,18,750.0000000000086
EURNZD_SB,5m,0.10,5.0,2.0,44.59%,2.01,166.00,148,165.99999999998204
EURNZD_SB,5m,0.10,10.0,2.0,22.97%,1.49,112.00,148,111.99999999998829
EURNZD_SB,5m,0.10,10.0,5.0,33.11%,0.99,-5.00,148,-4.999999999998465
EURNZD_SB,5m,0.10,15.0,2.0,11.49%,0.97,-7.00,148,-6.999999999960778
EURNZD_SB,5m,0.10,15.0,5.0,23.65%,0.93,-40.00,148,-39.99999999991701
EURNZD_SB,5m,0.10,15.0,10.0,39.86%,0.99,-5.00,148,-4.999999999867555
EURNZD_SB,5m,0.10,20.0,2.0,7.43%,0.80,-54.00,148,-53.99999999996885
EURNZD_SB,5m,0.10,20.0,5.0,17.57%,0.85,-90.00,148,-89.99999999993145
EURNZD_SB,5m,0.10,20.0,10.0,30.41%,0.87,-130.00,148,-129.99999999988484
EURNZD_SB,5m,0.10,20.0,18.0,41.89%,0.79,-317.00,148,-317.00000000002046
EURNZD_SB,5m,0.10,36.7,2.0,6.08%,1.19,52.30,148,52.30000000003696
EURNZD_SB,5m,0.10,36.7,5.0,11.49%,0.95,-31.10,148,-31.099999999916122
EURNZD_SB,5m,0.10,36.7,10.0,20.27%,0.93,-79.00,148,-78.99999999984925
EURNZD_SB,5m,0.10,36.7,18.0,29.05%,0.82,-337.60,148,-337.59999999999764
EURNZD_SB,5m,0.10,36.7,34.0,41.89%,0.77,-658.30,148,-658.3000000000238
EURNZD_SB,5m,0.10,68.3,2.0,4.05%,1.44,125.80,148,125.80000000002559
EURNZD_SB,5m,0.10,68.3,5.0,8.11%,1.21,139.60,148,139.60000000006323
EURNZD_SB,5m,0.10,68.3,10.0,13.51%,1.04,48.80,148,48.80000000012183
EURNZD_SB,5m,0.10,68.3,18.0,20.95%,0.96,-83.20,148,-83.20000000006144
EURNZD_SB,5m,0.10,68.3,34.0,29.73%,0.83,-609.30,148,-609.3000000001298
EURNZD_SB,5m,0.10,68.3,50.0,40.54%,0.92,-364.50,148,-364.4999999999818
