Symbol,Timeframe,Lot Size,TP Pips,SL Pips,Win Rate,Profit Factor,Total P/L,Total Trades,Net Pips
AUDCAD_SB,5m,0.10,5.0,2.0,31.74%,1.16,37.00,167,36.9999999999967
AUDCAD_SB,5m,0.10,10.0,2.0,15.57%,0.92,-22.00,167,-21.999999999967997
AUDCAD_SB,5m,0.10,10.0,5.0,35.93%,1.12,65.00,167,65.00000000005991
AUDCAD_SB,5m,0.10,15.0,2.0,11.98%,1.02,6.00,167,6.000000000022283
AUDCAD_SB,5m,0.10,15.0,5.0,24.55%,0.98,-15.00,167,-14.999999999952365
AUDCAD_SB,5m,0.10,15.0,10.0,40.12%,0.99,-6.00,167,-6.000000000037744
AUDCAD_SB,5m,0.10,20.0,2.0,10.78%,1.21,62.00,167,62.000000000033936
AUDCAD_SB,5m,0.10,20.0,5.0,20.36%,1.02,15.00,167,15.000000000074806
AUDCAD_SB,5m,0.10,20.0,10.0,32.93%,0.97,-36.00,167,-36.00000000000023
AUDCAD_SB,5m,0.10,20.0,18.0,49.70%,1.09,132.00,167,131.99999999998067
AUDCAD_SB,5m,0.10,36.7,2.0,7.19%,1.42,130.40,167,130.40000000002925
AUDCAD_SB,5m,0.10,36.7,5.0,13.77%,1.17,124.10,167,124.10000000006926
AUDCAD_SB,5m,0.10,36.7,10.0,24.55%,1.17,212.00,167,211.99999999998045
AUDCAD_SB,5m,0.10,36.7,18.0,35.93%,1.13,243.30,167,243.29999999994743
AUDCAD_SB,5m,0.10,36.7,34.0,52.69%,1.19,510.90,167,510.8999999999892
AUDCAD_SB,5m,0.10,68.3,2.0,4.19%,1.49,158.10,167,158.1000000000363
AUDCAD_SB,5m,0.10,68.3,5.0,8.98%,1.35,264.50,167,264.50000000008595
AUDCAD_SB,5m,0.10,68.3,10.0,15.57%,1.21,301.50,167,301.49999999999955
AUDCAD_SB,5m,0.10,68.3,18.0,20.96%,0.98,-49.80,167,-49.80000000003429
AUDCAD_SB,5m,0.10,68.3,34.0,30.54%,0.87,-525.00,167,-524.999999999945
AUDCAD_SB,5m,0.10,68.3,50.0,39.52%,0.89,-541.00,167,-540.9999999999973
AUDCAD_SB,5m,0.10,100.0,2.0,1.20%,0.49,-169.90,167,-169.89999999996192
AUDCAD_SB,5m,0.10,100.0,5.0,2.99%,0.57,-349.90,167,-349.899999999908
AUDCAD_SB,5m,0.10,100.0,10.0,5.39%,0.47,-831.00,167,-830.9999999999994
AUDCAD_SB,5m,0.10,100.0,18.0,8.38%,0.45,-1505.00,167,-1505.0000000000427
AUDCAD_SB,5m,0.10,100.0,34.0,13.17%,0.41,-2898.40,167,-2898.3999999999446
AUDCAD_SB,5m,0.10,100.0,50.0,20.36%,0.49,-3335.90,167,-3335.9000000000015
AUDCAD_SB,15m,0.10,5.0,2.0,28.79%,1.01,1.00,66,0.9999999999999574
AUDCAD_SB,15m,0.10,10.0,2.0,16.67%,1.00,0.00,66,0.000000000012391865311656147
AUDCAD_SB,15m,0.10,10.0,5.0,30.30%,0.87,-30.00,66,-29.999999999974676
AUDCAD_SB,15m,0.10,15.0,2.0,4.55%,0.36,-81.00,66,-80.99999999998752
AUDCAD_SB,15m,0.10,15.0,5.0,15.15%,0.54,-130.00,66,-129.99999999997473
AUDCAD_SB,15m,0.10,15.0,10.0,33.33%,0.75,-110.00,66,-110.00000000001222
AUDCAD_SB,15m,0.10,20.0,2.0,4.55%,0.48,-66.00,66,-65.99999999998585
AUDCAD_SB,15m,0.10,20.0,5.0,13.64%,0.63,-105.00,66,-104.99999999996857
AUDCAD_SB,15m,0.10,20.0,10.0,30.30%,0.87,-60.00,66,-59.999999999999886
AUDCAD_SB,15m,0.10,20.0,18.0,51.52%,1.18,104.00,66,103.99999999999295
AUDCAD_SB,15m,0.10,36.7,2.0,3.03%,0.57,-54.60,66,-54.59999999998665
