Symbol,Timeframe,Lot Size,TP Pips,SL Pips,Win Rate,Profit Factor,Total P/L,Total Trades,Net Pips
EURUSD_SB,30m,0.10,5.0,2.0,66.67%,5.00,56.00,21,55.99999999999381
EURUSD_SB,4h,0.10,76.3,26.0,50.00%,2.93,50.30,2,50.30000000000089
EURUSD_SB,1h,0.10,5.0,2.0,53.33%,2.86,26.00,15,25.999999999997137
EURUSD_SB,4h,0.10,5.0,2.0,50.00%,2.50,3.00,2,2.9999999999996696
EURUSD_SB,4h,0.10,52.5,26.0,50.00%,2.02,26.50,2,26.50000000000041
EURUSD_SB,4h,0.10,76.3,38.0,50.00%,2.01,38.30,2,38.3
EURUSD_SB,15m,0.10,5.0,2.0,40.74%,1.72,46.00,54,45.999999999994884
EURUSD_SB,30m,0.10,28.8,14.0,42.86%,1.43,71.90,21,71.89999999999137
EURUSD_SB,30m,0.10,28.8,26.0,57.14%,1.39,92.30,21,92.30000000000521
EURUSD_SB,4h,0.10,52.5,38.0,50.00%,1.38,14.50,2,14.49999999999951
EURUSD_SB,30m,0.10,52.5,26.0,42.86%,1.38,117.50,21,117.50000000000591
EURUSD_SB,30m,0.10,52.5,14.0,28.57%,1.30,62.00,21,61.99999999998866
EURUSD_SB,30m,0.10,76.3,26.0,33.33%,1.28,103.30,21,103.30000000001053
EURUSD_SB,5m,0.10,5.0,2.0,33.80%,1.28,78.00,213,77.99999999999204
EURUSD_SB,15m,0.10,28.8,14.0,38.89%,1.17,76.70,54,76.6999999999718
EURUSD_SB,30m,0.10,52.5,38.0,47.62%,1.15,64.00,21,63.999999999995225
EURUSD_SB,15m,0.10,28.8,2.0,7.41%,1.15,15.20,54,15.200000000010888
EURUSD_SB,1m,0.10,76.3,2.0,3.00%,1.12,329.10,1435,329.10000000024047
EURUSD_SB,4h,0.10,28.8,26.0,50.00%,1.11,2.80,2,2.80000000000058
EURUSD_SB,1m,0.10,5.0,2.0,30.66%,1.11,210.00,1435,210.00000000000364
EURUSD_SB,30m,0.10,76.3,38.0,38.10%,1.10,49.60,21,49.59999999999866
EURUSD_SB,1m,0.10,52.5,2.0,3.97%,1.06,159.70,1435,159.70000000021673
EURUSD_SB,15m,0.10,76.3,38.0,37.04%,1.04,45.80,54,45.799999999991996
EURUSD_SB,1h,0.10,28.8,2.0,6.67%,1.03,0.80,15,0.8000000000030205
EURUSD_SB,15m,0.10,28.8,26.0,50.00%,1.01,9.50,54,9.500000000011482
EURUSD_SB,1h,0.10,52.5,26.0,33.33%,1.01,2.50,15,2.5000000000052864
EURUSD_SB,1m,0.10,52.5,14.0,21.74%,1.00,23.90,1435,23.899999999532156
EURUSD_SB,1m,0.10,52.5,38.0,42.58%,1.00,-130.20,1435,-130.20000000008076
EURUSD_SB,1m,0.10,76.3,38.0,34.43%,0.99,-331.30,1435,-331.300000000032
EURUSD_SB,5m,0.10,28.8,14.0,32.86%,0.99,-22.50,213,-22.500000000099817
EURUSD_SB,1m,0.10,28.8,26.0,47.11%,0.99,-246.40,1435,-246.4000000000451
EURUSD_SB,1m,0.10,28.8,14.0,32.33%,0.98,-333.00,1435,-333.00000000055115
EURUSD_SB,1m,0.10,76.3,14.0,16.17%,0.97,-549.30,1435,-549.3000000003303
EURUSD_SB,1m,0.10,52.5,26.0,32.82%,0.95,-1146.50,1435,-1146.4999999998108
EURUSD_SB,15m,0.10,52.5,38.0,42.59%,0.92,-87.30,54,-87.30000000001633
EURUSD_SB,1m,0.10,76.3,26.0,25.30%,0.92,-2093.10,1435,-2093.0999999997293
EURUSD_SB,15m,0.10,76.3,26.0,27.78%,0.92,-78.10,54,-78.09999999997581
EURUSD_SB,1h,0.10,52.5,38.0,40.00%,0.92,-27.00,15,-27.000000000003695
EURUSD_SB,1m,0.10,28.8,2.0,5.99%,0.91,-243.10,1435,-243.0999999997739
EURUSD_SB,5m,0.10,76.3,38.0,31.92%,0.86,-751.20,213,-751.2000000000326
