Symbol,Timeframe,Lot Size,TP Pips,SL Pips,Win Rate,Profit Factor,Total P/L,Total Trades,Net Pips
EURJPY_SB,4h,0.10,5.0,2.0,60.00%,3.75,11.00,5,10.99999999951251
EURJPY_SB,4h,0.10,10.0,2.0,60.00%,7.50,26.00,5,26.00000000001046
EURJPY_SB,4h,0.10,10.0,5.0,60.00%,3.00,20.00,5,20.000000000379714
EURJPY_SB,4h,0.10,15.0,2.0,60.00%,11.25,41.00,5,40.999999999655756
EURJPY_SB,4h,0.10,15.0,5.0,60.00%,4.50,35.00,5,35.00000000002501
EURJPY_SB,4h,0.10,15.0,10.0,60.00%,2.25,25.00,5,24.999999999693046
EURJPY_SB,4h,0.10,20.0,2.0,60.00%,15.00,56.00,5,56.000000000153705
EURJPY_SB,4h,0.10,20.0,5.0,60.00%,6.00,50.00,5,50.00000000052296
EURJPY_SB,4h,0.10,20.0,10.0,60.00%,3.00,40.00,5,40.000000000190994
EURJPY_SB,4h,0.10,20.0,18.0,60.00%,1.67,24.00,5,24.000000000228283
EURJPY_SB,4h,0.10,36.7,2.0,60.00%,27.52,106.10,5,106.09999999985575
EURJPY_SB,4h,0.10,36.7,5.0,60.00%,11.01,100.10,5,100.10000000022501
EURJPY_SB,4h,0.10,36.7,10.0,60.00%,5.50,90.10,5,90.09999999989304
EURJPY_SB,4h,0.10,36.7,18.0,60.00%,3.06,74.10,5,74.09999999993033
EURJPY_SB,4h,0.10,36.7,34.0,60.00%,1.62,42.10,5,42.10000000000491
EURJPY_SB,4h,0.10,68.3,2.0,60.00%,51.22,200.90,5,200.90000000010377
EURJPY_SB,4h,0.10,68.3,5.0,60.00%,20.49,194.90,5,194.90000000047303
EURJPY_SB,4h,0.10,68.3,10.0,60.00%,10.24,184.90,5,184.90000000014106
EURJPY_SB,4h,0.10,68.3,18.0,60.00%,5.69,168.90,5,168.90000000017835
EURJPY_SB,4h,0.10,68.3,34.0,60.00%,3.01,136.90,5,136.90000000025293
EURJPY_SB,4h,0.10,68.3,50.0,60.00%,2.05,104.90,5,104.90000000032751
EURJPY_SB,4h,0.10,100.0,2.0,60.00%,75.00,296.00,5,295.99999999959437
EURJPY_SB,4h,0.10,100.0,5.0,60.00%,30.00,290.00,5,289.9999999999636
EURJPY_SB,4h,0.10,100.0,10.0,60.00%,15.00,280.00,5,279.99999999963165
EURJPY_SB,4h,0.10,100.0,18.0,60.00%,8.33,264.00,5,263.99999999966894
EURJPY_SB,4h,0.10,100.0,34.0,60.00%,4.41,232.00,5,231.99999999974352
EURJPY_SB,4h,0.10,100.0,50.0,60.00%,3.00,200.00,5,199.9999999998181
EURJPY_SB,1h,0.10,5.0,2.0,63.64%,4.37,27.00,11,26.999999998906787
EURJPY_SB,1h,0.10,10.0,2.0,63.64%,8.75,62.00,11,62.00000000006867
EURJPY_SB,1h,0.10,10.0,5.0,63.64%,3.50,50.00,11,50.00000000080718
EURJPY_SB,1h,0.10,15.0,2.0,63.64%,13.12,97.00,11,96.99999999924103
EURJPY_SB,1h,0.10,15.0,5.0,63.64%,5.25,85.00,11,84.99999999997954
EURJPY_SB,1h,0.10,15.0,10.0,63.64%,2.62,65.00,11,64.9999999993156
EURJPY_SB,1h,0.10,20.0,2.0,63.64%,17.50,132.00,11,132.0000000004029
EURJPY_SB,1h,0.10,20.0,5.0,63.64%,7.00,120.00,11,120.00000000114142
EURJPY_SB,1h,0.10,20.0,10.0,63.64%,3.50,100.00,11,100.00000000047748
EURJPY_SB,1h,0.10,20.0,18.0,63.64%,1.94,68.00,11,68.00000000055206
EURJPY_SB,1h,0.10,36.7,2.0,63.64%,32.11,248.90,11,248.8999999997077
EURJPY_SB,1h,0.10,36.7,5.0,63.64%,12.85,236.90,11,236.9000000004462
EURJPY_SB,1h,0.10,36.7,10.0,63.64%,6.42,216.90,11,216.89999999978227
EURJPY_SB,1h,0.10,36.7,18.0,63.64%,3.57,184.90,11,184.89999999985685
EURJPY_SB,1h,0.10,36.7,34.0,63.64%,1.89,120.90,11,120.900000000006
EURJPY_SB,1h,0.10,68.3,2.0,63.64%,59.76,470.10,11,470.1000000002864
EURJPY_SB,1h,0.10,68.3,5.0,63.64%,23.91,458.10,11,458.1000000010249
EURJPY_SB,1h,0.10,68.3,10.0,63.64%,11.95,438.10,11,438.100000000361
EURJPY_SB,1h,0.10,68.3,18.0,63.64%,6.64,406.10,11,406.10000000043556
EURJPY_SB,1h,0.10,68.3,34.0,63.64%,3.52,342.10,11,342.1000000005847
EURJPY_SB,1h,0.10,68.3,50.0,63.64%,2.39,278.10,11,278.10000000073387
EURJPY_SB,1h,0.10,100.0,2.0,63.64%,87.50,692.00,11,691.9999999990978
EURJPY_SB,1h,0.10,100.0,5.0,63.64%,35.00,680.00,11,679.9999999998363
EURJPY_SB,1h,0.10,100.0,10.0,63.64%,17.50,660.00,11,659.9999999991724
EURJPY_SB,1h,0.10,100.0,18.0,63.64%,9.72,628.00,11,627.9999999992469
EURJPY_SB,1h,0.10,100.0,34.0,63.64%,5.15,564.00,11,563.9999999993961
EURJPY_SB,1h,0.10,100.0,50.0,63.64%,3.50,500.00,11,499.99999999954525
EURJPY_SB,30m,0.10,5.0,2.0,63.16%,4.29,46.00,19,45.99999999811644
EURJPY_SB,30m,0.10,10.0,2.0,63.16%,8.57,106.00,19,106.00000000010823
EURJPY_SB,30m,0.10,10.0,5.0,63.16%,3.43,85.00,19,85.00000000140062
EURJPY_SB,30m,0.10,15.0,2.0,57.89%,10.31,149.00,19,148.9999999986935
EURJPY_SB,30m,0.10,15.0,5.0,57.89%,4.13,125.00,19,125.00000000017053
EURJPY_SB,30m,0.10,15.0,10.0,57.89%,2.06,85.00,19,84.99999999884267
EURJPY_SB,30m,0.10,20.0,2.0,57.89%,13.75,204.00,19,204.00000000051932
EURJPY_SB,30m,0.10,20.0,5.0,57.89%,5.50,180.00,19,180.00000000199634
EURJPY_SB,30m,0.10,20.0,10.0,57.89%,2.75,140.00,19,140.00000000066848
EURJPY_SB,30m,0.10,20.0,18.0,57.89%,1.53,76.00,19,76.00000000081764
EURJPY_SB,30m,0.10,36.7,2.0,52.63%,20.39,349.00,19,348.99999999936426
EURJPY_SB,30m,0.10,36.7,5.0,52.63%,8.16,322.00,19,322.0000000010259
EURJPY_SB,30m,0.10,36.7,10.0,52.63%,4.08,277.00,19,276.99999999953206
EURJPY_SB,30m,0.10,36.7,18.0,52.63%,2.27,205.00,19,204.99999999969987
EURJPY_SB,30m,0.10,36.7,34.0,52.63%,1.20,61.00,19,61.00000000003547
EURJPY_SB,30m,0.10,68.3,2.0,52.63%,37.94,665.00,19,665.000000000191
EURJPY_SB,30m,0.10,68.3,5.0,52.63%,15.18,638.00,19,638.0000000018526
EURJPY_SB,30m,0.10,68.3,10.0,52.63%,7.59,593.00,19,593.0000000003588
EURJPY_SB,30m,0.10,68.3,18.0,52.63%,4.22,521.00,19,521.0000000005266
EURJPY_SB,30m,0.10,68.3,34.0,52.63%,2.23,377.00,19,377.0000000008622
EURJPY_SB,30m,0.10,68.3,50.0,52.63%,1.52,233.00,19,233.0000000011978
EURJPY_SB,30m,0.10,100.0,2.0,52.63%,55.56,982.00,19,981.999999998493
EURJPY_SB,30m,0.10,100.0,5.0,52.63%,22.22,955.00,19,955.0000000001546
EURJPY_SB,30m,0.10,100.0,10.0,52.63%,11.11,910.00,19,909.9999999986608
EURJPY_SB,30m,0.10,100.0,18.0,52.63%,6.17,838.00,19,837.9999999988286
EURJPY_SB,30m,0.10,100.0,34.0,52.63%,3.27,694.00,19,693.9999999991642
EURJPY_SB,30m,0.10,100.0,50.0,52.63%,2.22,550.00,19,549.9999999994998
