Symbol,Timeframe,Lot Size,TP Pips,SL Pips,Win Rate,Profit Factor,Total P/L,Total Trades,Net Pips
AUDJPY_SB,15m,0.10,5.0,2.0,71.43%,6.25,189.00,63,1.8899999999987926
AUDJPY_SB,15m,0.10,10.0,2.0,71.43%,12.50,414.00,63,4.140000000009536
AUDJPY_SB,15m,0.10,10.0,5.0,71.43%,5.00,360.00,63,3.6000000000171894
AUDJPY_SB,15m,0.10,15.0,2.0,71.43%,18.75,639.00,63,6.389999999956331
AUDJPY_SB,15m,0.10,15.0,5.0,71.43%,7.50,585.00,63,5.849999999963984
AUDJPY_SB,15m,0.10,15.0,10.0,71.43%,3.75,495.00,63,4.949999999959687
AUDJPY_SB,15m,0.10,20.0,2.0,71.43%,25.00,864.00,63,8.639999999967074
AUDJPY_SB,15m,0.10,20.0,5.0,71.43%,10.00,810.00,63,8.099999999974727
AUDJPY_SB,15m,0.10,20.0,10.0,71.43%,5.00,720.00,63,7.19999999997043
AUDJPY_SB,15m,0.10,20.0,18.0,71.43%,2.78,576.00,63,5.759999999973786
AUDJPY_SB,15m,0.10,36.7,2.0,71.43%,45.87,1615.50,63,16.15499999998633
AUDJPY_SB,15m,0.10,36.7,5.0,71.43%,18.35,1561.50,63,15.614999999993984
AUDJPY_SB,15m,0.10,36.7,10.0,71.43%,9.17,1471.50,63,14.714999999989686
AUDJPY_SB,15m,0.10,36.7,18.0,71.43%,5.10,1327.50,63,13.274999999993042
AUDJPY_SB,15m,0.10,36.7,34.0,71.43%,2.70,1039.50,63,10.394999999999754
AUDJPY_SB,15m,0.10,68.3,2.0,69.84%,79.08,2967.20,63,29.671999999959525
AUDJPY_SB,15m,0.10,68.3,5.0,69.84%,31.63,2910.20,63,29.101999999967603
AUDJPY_SB,15m,0.10,68.3,10.0,69.84%,15.82,2815.20,63,28.151999999963067
AUDJPY_SB,15m,0.10,68.3,18.0,69.84%,8.79,2663.20,63,26.63199999996661
AUDJPY_SB,15m,0.10,68.3,34.0,69.84%,4.65,2359.20,63,23.591999999973694
AUDJPY_SB,15m,0.10,68.3,50.0,69.84%,3.16,2055.20,63,20.55199999998078
AUDJPY_SB,15m,0.10,100.0,2.0,69.84%,115.79,4362.00,63,43.62000000000984
AUDJPY_SB,15m,0.10,100.0,5.0,69.84%,46.32,4305.00,63,43.05000000001792
AUDJPY_SB,15m,0.10,100.0,10.0,69.84%,23.16,4210.00,63,42.10000000001338
AUDJPY_SB,15m,0.10,100.0,18.0,69.84%,12.87,4058.00,63,40.58000000001692
AUDJPY_SB,15m,0.10,100.0,34.0,69.84%,6.81,3754.00,63,37.54000000002401
AUDJPY_SB,15m,0.10,100.0,50.0,69.84%,4.63,3450.00,63,34.50000000003109
AUDJPY_SB,30m,0.10,5.0,2.0,54.55%,3.00,40.00,22,0.3999999999962256
AUDJPY_SB,30m,0.10,10.0,2.0,50.00%,5.00,88.00,22,0.8799999999979491
AUDJPY_SB,30m,0.10,10.0,5.0,50.00%,2.00,55.00,22,0.5500000000026262
AUDJPY_SB,30m,0.10,15.0,2.0,50.00%,7.50,143.00,22,1.4299999999849433
AUDJPY_SB,30m,0.10,15.0,5.0,50.00%,3.00,110.00,22,1.0999999999896204
AUDJPY_SB,30m,0.10,15.0,10.0,50.00%,1.50,55.00,22,0.5499999999869942
AUDJPY_SB,30m,0.10,20.0,2.0,50.00%,10.00,198.00,22,1.9799999999875695
AUDJPY_SB,30m,0.10,20.0,5.0,50.00%,4.00,165.00,22,1.6499999999922466
AUDJPY_SB,30m,0.10,20.0,10.0,50.00%,2.00,110.00,22,1.0999999999896204
AUDJPY_SB,30m,0.10,20.0,18.0,50.00%,1.11,22.00,22,0.2199999999916713
AUDJPY_SB,30m,0.10,36.7,2.0,50.00%,18.35,381.70,22,3.8169999999922766
AUDJPY_SB,30m,0.10,36.7,5.0,50.00%,7.34,348.70,22,3.4869999999969536
AUDJPY_SB,30m,0.10,36.7,10.0,50.00%,3.67,293.70,22,2.9369999999943275
AUDJPY_SB,30m,0.10,36.7,18.0,50.00%,2.04,205.70,22,2.0569999999963784
AUDJPY_SB,30m,0.10,36.7,34.0,50.00%,1.08,29.70,22,0.2970000000004802
AUDJPY_SB,30m,0.10,68.3,2.0,50.00%,34.15,729.30,22,7.292999999985739
AUDJPY_SB,30m,0.10,68.3,5.0,50.00%,13.66,696.30,22,6.962999999990416
AUDJPY_SB,30m,0.10,68.3,10.0,50.00%,6.83,641.30,22,6.41299999998779
AUDJPY_SB,30m,0.10,68.3,18.0,50.00%,3.79,553.30,22,5.5329999999898405
AUDJPY_SB,30m,0.10,68.3,34.0,50.00%,2.01,377.30,22,3.7729999999939423
AUDJPY_SB,30m,0.10,68.3,50.0,50.00%,1.37,201.30,22,2.012999999998044
AUDJPY_SB,30m,0.10,100.0,2.0,50.00%,50.00,1078.00,22,10.779999999998324
AUDJPY_SB,30m,0.10,100.0,5.0,50.00%,20.00,1045.00,22,10.450000000003001
AUDJPY_SB,30m,0.10,100.0,10.0,50.00%,10.00,990.00,22,9.900000000000375
AUDJPY_SB,30m,0.10,100.0,18.0,50.00%,5.56,902.00,22,9.020000000002426
AUDJPY_SB,30m,0.10,100.0,34.0,50.00%,2.94,726.00,22,7.260000000006528
AUDJPY_SB,30m,0.10,100.0,50.0,50.00%,2.00,550.00,22,5.50000000001063
AUDJPY_SB,5m,0.10,5.0,2.0,77.08%,8.41,815.00,240,8.150000000007651
AUDJPY_SB,5m,0.10,10.0,2.0,77.08%,16.82,1740.00,240,17.40000000005182
AUDJPY_SB,5m,0.10,10.0,5.0,77.08%,6.73,1575.00,240,15.750000000075204
AUDJPY_SB,5m,0.10,15.0,2.0,77.08%,25.23,2665.00,240,26.649999999833085
