Symbol,Timeframe,Lot Size,TP Pips,SL Pips,Win Rate,Profit Factor,Total P/L,Total Trades,Net Pips
EURAUD_SB,15m,0.10,5.0,2.0,64.29%,4.50,140.00,56,139.99999999998462
EURAUD_SB,15m,0.10,10.0,2.0,35.71%,2.78,128.00,56,127.99999999998585
EURAUD_SB,15m,0.10,10.0,5.0,41.07%,1.39,65.00,56,64.99999999999272
EURAUD_SB,15m,0.10,15.0,2.0,17.86%,1.63,58.00,56,58.000000000015916
EURAUD_SB,15m,0.10,15.0,5.0,28.57%,1.20,40.00,56,40.00000000003104
EURAUD_SB,15m,0.10,15.0,10.0,44.64%,1.21,65.00,56,65.00000000004837
EURAUD_SB,15m,0.10,20.0,2.0,8.93%,0.98,-2.00,56,-1.999999999988546
EURAUD_SB,15m,0.10,20.0,5.0,17.86%,0.87,-30.00,56,-29.99999999997462
EURAUD_SB,15m,0.10,20.0,10.0,33.93%,1.03,10.00,56,10.000000000040927
EURAUD_SB,15m,0.10,20.0,18.0,46.43%,0.96,-20.00,56,-20.000000000006594
EURAUD_SB,15m,0.10,36.7,2.0,3.57%,0.68,-34.60,56,-34.59999999998671
EURAUD_SB,15m,0.10,36.7,5.0,8.93%,0.72,-71.50,56,-71.49999999996902
EURAUD_SB,15m,0.10,36.7,10.0,17.86%,0.80,-93.00,56,-92.99999999994344
EURAUD_SB,15m,0.10,36.7,18.0,26.79%,0.75,-187.50,56,-187.5000000000001
EURAUD_SB,15m,0.10,36.7,34.0,39.29%,0.70,-348.60,56,-348.6000000000098
EURAUD_SB,15m,0.10,68.3,2.0,3.57%,1.26,28.60,56,28.600000000009885
EURAUD_SB,15m,0.10,68.3,5.0,5.36%,0.77,-60.10,56,-60.09999999997427
EURAUD_SB,15m,0.10,68.3,10.0,14.29%,1.14,66.40,56,66.40000000004386
EURAUD_SB,15m,0.10,68.3,18.0,21.43%,0.98,-14.50,56,-14.500000000021373
EURAUD_SB,15m,0.10,68.3,34.0,32.14%,0.88,-160.00,56,-160.00000000004206
EURAUD_SB,15m,0.10,68.3,50.0,35.71%,0.70,-531.40,56,-531.3999999999792
EURAUD_SB,15m,0.10,100.0,2.0,3.57%,1.85,92.00,56,92.00000000001222
EURAUD_SB,15m,0.10,100.0,5.0,5.36%,1.13,35.00,56,35.00000000002922
EURAUD_SB,15m,0.10,100.0,10.0,14.29%,1.67,320.00,56,320.0000000000533
EURAUD_SB,15m,0.10,100.0,18.0,21.43%,1.42,334.20,56,334.1999999999915
EURAUD_SB,15m,0.10,100.0,34.0,30.36%,1.16,213.20,56,213.19999999997572
EURAUD_SB,15m,0.10,100.0,50.0,33.93%,0.94,-110.80,56,-110.79999999995721
EURAUD_SB,5m,0.10,5.0,2.0,38.31%,1.55,137.00,201,136.99999999998533
EURAUD_SB,5m,0.10,10.0,2.0,15.42%,0.91,-30.00,201,-29.999999999995737
EURAUD_SB,5m,0.10,10.0,5.0,29.85%,0.85,-105.00,201,-104.99999999998693
EURAUD_SB,5m,0.10,15.0,2.0,9.45%,0.78,-79.00,201,-78.99999999994805
EURAUD_SB,5m,0.10,15.0,5.0,22.39%,0.87,-105.00,201,-104.99999999988688
EURAUD_SB,5m,0.10,15.0,10.0,40.30%,1.01,15.00,201,15.000000000178716
EURAUD_SB,5m,0.10,20.0,2.0,6.97%,0.75,-94.00,201,-93.99999999995742
EURAUD_SB,5m,0.10,20.0,5.0,16.42%,0.79,-180.00,201,-179.9999999999053
EURAUD_SB,5m,0.10,20.0,10.0,34.33%,1.05,60.00,201,60.00000000014825
EURAUD_SB,5m,0.10,20.0,18.0,47.26%,1.00,-8.00,201,-8.000000000023874
EURAUD_SB,5m,0.10,36.7,2.0,5.97%,1.17,62.40,201,62.40000000005017
EURAUD_SB,5m,0.10,36.7,5.0,12.44%,1.04,37.50,201,37.50000000011437
EURAUD_SB,5m,0.10,36.7,10.0,23.38%,1.11,172.40,201,172.400000000202
EURAUD_SB,5m,0.10,36.7,18.0,35.32%,1.11,253.20,201,253.20000000001255
EURAUD_SB,5m,0.10,36.7,34.0,52.24%,1.18,590.00,201,589.9999999999977
EURAUD_SB,5m,0.10,68.3,2.0,3.98%,1.42,160.40,201,160.400000000035
EURAUD_SB,5m,0.10,68.3,5.0,7.96%,1.18,167.80,201,167.8000000000867
EURAUD_SB,5m,0.10,68.3,10.0,15.92%,1.27,451.50,201,451.5000000001535
EURAUD_SB,5m,0.10,68.3,18.0,25.37%,1.27,739.20,201,739.1999999998984
EURAUD_SB,5m,0.10,68.3,34.0,41.79%,1.38,1503.30,201,1503.2999999998242
EURAUD_SB,5m,0.10,68.3,50.0,47.76%,1.20,1066.90,201,1066.9000000000087
EURAUD_SB,5m,0.10,100.0,2.0,2.99%,1.54,210.00,201,210.00000000004468
EURAUD_SB,5m,0.10,100.0,5.0,6.47%,1.38,360.00,201,360.00000000010687
EURAUD_SB,5m,0.10,100.0,10.0,14.43%,1.60,1029.20,201,1029.2000000001926
EURAUD_SB,5m,0.10,100.0,18.0,21.89%,1.50,1423.20,201,1423.199999999954
EURAUD_SB,5m,0.10,100.0,34.0,37.31%,1.64,2726.60,201,2726.5999999998994
EURAUD_SB,5m,0.10,100.0,50.0,43.78%,1.44,2493.70,201,2493.7000000001117
EURAUD_SB,30m,0.10,5.0,2.0,48.15%,2.32,37.00,27,36.99999999999591
EURAUD_SB,30m,0.10,10.0,2.0,37.04%,2.94,66.00,27,65.99999999999272
EURAUD_SB,30m,0.10,10.0,5.0,44.44%,1.60,45.00,27,44.99999999999504
EURAUD_SB,30m,0.10,15.0,2.0,25.93%,2.63,65.00,27,65.00000000000838
EURAUD_SB,30m,0.10,15.0,5.0,25.93%,1.05,5.00,27,5.000000000015035
EURAUD_SB,30m,0.10,15.0,10.0,40.74%,1.03,5.00,27,5.000000000023931
EURAUD_SB,30m,0.10,20.0,2.0,14.81%,1.74,34.00,27,34.00000000000514
