Symbol,Timeframe,Lot Size,TP Pips,SL Pips,Win Rate,Profit Factor,Total P/L,Total Trades,Net Pips
GBPCAD_SB,1h,0.10,5.0,2.0,60.00%,3.75,44.00,20,43.99999999999514
GBPCAD_SB,1h,0.10,10.0,2.0,50.00%,5.00,80.00,20,79.99999999999118
GBPCAD_SB,1h,0.10,10.0,5.0,60.00%,3.00,80.00,20,79.99999999999116
GBPCAD_SB,1h,0.10,15.0,2.0,30.00%,3.21,62.00,20,62.000000000006494
GBPCAD_SB,1h,0.10,15.0,5.0,45.00%,2.45,80.00,20,80.00000000001118
GBPCAD_SB,1h,0.10,15.0,10.0,50.00%,1.50,50.00,20,50.00000000001671
GBPCAD_SB,1h,0.10,20.0,2.0,20.00%,2.50,48.00,20,48.000000000003595
GBPCAD_SB,1h,0.10,20.0,5.0,30.00%,1.71,50.00,20,50.00000000000783
GBPCAD_SB,1h,0.10,20.0,10.0,40.00%,1.33,40.00,20,40.00000000001339
GBPCAD_SB,1h,0.10,20.0,18.0,55.00%,1.36,58.00,20,57.999999999998096
GBPCAD_SB,1h,0.10,36.7,2.0,15.00%,3.24,76.10,20,76.10000000000562
GBPCAD_SB,1h,0.10,36.7,5.0,25.00%,2.45,108.50,20,108.50000000001138
GBPCAD_SB,1h,0.10,36.7,10.0,35.00%,1.98,126.90,20,126.90000000001871
GBPCAD_SB,1h,0.10,36.7,18.0,45.00%,1.67,132.30,20,132.300000000003
GBPCAD_SB,1h,0.10,36.7,34.0,85.00%,6.12,521.90,20,521.9000000000085
GBPCAD_SB,1h,0.10,68.3,2.0,0.00%,-0.00,-40.00,20,-39.999999999995595
GBPCAD_SB,1h,0.10,68.3,5.0,5.00%,0.72,-26.70,20,-26.69999999999058
GBPCAD_SB,1h,0.10,68.3,10.0,10.00%,0.76,-43.40,20,-43.39999999998227
GBPCAD_SB,1h,0.10,68.3,18.0,20.00%,0.84,-47.30,20,-47.300000000007856
GBPCAD_SB,1h,0.10,68.3,34.0,45.00%,1.30,113.60,20,113.5999999999849
GBPCAD_SB,1h,0.10,68.3,50.0,65.00%,2.43,447.30,20,447.29999999999507
GBPCAD_SB,1h,0.10,100.0,2.0,0.00%,-0.00,-40.00,20,-39.999999999995595
GBPCAD_SB,1h,0.10,100.0,5.0,5.00%,1.05,5.00,20,5.000000000010587
GBPCAD_SB,1h,0.10,100.0,10.0,5.00%,0.53,-90.00,20,-89.99999999997891
GBPCAD_SB,1h,0.10,100.0,18.0,10.00%,0.42,-188.20,20,-188.20000000000496
GBPCAD_SB,1h,0.10,100.0,34.0,30.00%,0.79,-98.20,20,-98.20000000001045
GBPCAD_SB,1h,0.10,100.0,50.0,45.00%,1.32,164.30,20,164.30000000001075
GBPCAD_SB,15m,0.10,5.0,2.0,55.95%,3.18,161.00,84,160.99999999998246
GBPCAD_SB,15m,0.10,10.0,2.0,40.48%,3.40,240.00,84,239.99999999997374
GBPCAD_SB,15m,0.10,10.0,5.0,48.81%,1.91,195.00,84,194.9999999999786
GBPCAD_SB,15m,0.10,15.0,2.0,23.81%,2.34,172.00,84,172.0000000000257
GBPCAD_SB,15m,0.10,15.0,5.0,33.33%,1.50,140.00,84,140.0000000000466
GBPCAD_SB,15m,0.10,15.0,10.0,44.05%,1.18,85.00,84,85.00000000007248
GBPCAD_SB,15m,0.10,20.0,2.0,16.67%,2.00,140.00,84,140.00000000001597
GBPCAD_SB,15m,0.10,20.0,5.0,23.81%,1.25,80.00,84,80.00000000003553
GBPCAD_SB,15m,0.10,20.0,10.0,34.52%,1.05,30.00,84,30.000000000060595
GBPCAD_SB,15m,0.10,20.0,18.0,47.62%,1.01,8.00,84,7.999999999990223
GBPCAD_SB,15m,0.10,36.7,2.0,4.76%,0.92,-13.20,84,-13.199999999979553
GBPCAD_SB,15m,0.10,36.7,5.0,10.71%,0.88,-44.70,84,-44.69999999995292
GBPCAD_SB,15m,0.10,36.7,10.0,16.67%,0.73,-186.20,84,-186.19999999991398
GBPCAD_SB,15m,0.10,36.7,18.0,30.95%,0.91,-89.80,84,-89.79999999999734
GBPCAD_SB,15m,0.10,36.7,34.0,44.05%,0.85,-240.10,84,-240.10000000000832
GBPCAD_SB,15m,0.10,68.3,2.0,2.38%,0.83,-27.40,84,-27.39999999998375
GBPCAD_SB,15m,0.10,68.3,5.0,5.95%,0.86,-53.50,84,-53.49999999996163
GBPCAD_SB,15m,0.10,68.3,10.0,8.33%,0.62,-291.90,84,-291.8999999999223
GBPCAD_SB,15m,0.10,68.3,18.0,21.43%,1.03,41.40,84,41.399999999965075
GBPCAD_SB,15m,0.10,68.3,34.0,32.14%,0.95,-93.90,84,-93.90000000006944
GBPCAD_SB,15m,0.10,68.3,50.0,36.90%,0.78,-595.20,84,-595.199999999978
GBPCAD_SB,15m,0.10,100.0,2.0,0.00%,-0.00,-168.00,84,-167.99999999998113
GBPCAD_SB,15m,0.10,100.0,5.0,3.57%,0.74,-105.00,84,-104.99999999995487
GBPCAD_SB,15m,0.10,100.0,10.0,5.95%,0.63,-290.00,84,-289.999999999912
GBPCAD_SB,15m,0.10,100.0,18.0,16.67%,1.11,140.00,84,139.999999999985
GBPCAD_SB,15m,0.10,100.0,34.0,27.38%,1.11,226.00,84,225.99999999995953
GBPCAD_SB,15m,0.10,100.0,50.0,30.95%,0.86,-394.20,84,-394.1999999999384
GBPCAD_SB,30m,0.10,5.0,2.0,55.88%,3.17,65.00,34,64.99999999999281
GBPCAD_SB,30m,0.10,10.0,2.0,38.24%,3.10,88.00,34,87.99999999999028
GBPCAD_SB,30m,0.10,10.0,5.0,41.18%,1.40,40.00,34,39.999999999995595
GBPCAD_SB,30m,0.10,15.0,2.0,29.41%,3.13,102.00,34,102.00000000001097
GBPCAD_SB,30m,0.10,15.0,5.0,32.35%,1.43,50.00,34,50.00000000001897
GBPCAD_SB,30m,0.10,15.0,10.0,44.12%,1.18,35.00,34,35.00000000002953
GBPCAD_SB,30m,0.10,20.0,2.0,23.53%,3.08,108.00,34,108.00000000000587
GBPCAD_SB,30m,0.10,20.0,5.0,26.47%,1.44,55.00,34,55.000000000014
GBPCAD_SB,30m,0.10,20.0,10.0,38.24%,1.24,50.00,34,50.000000000023505
GBPCAD_SB,30m,0.10,20.0,18.0,47.06%,0.99,-4.00,34,-4.000000000003922
GBPCAD_SB,30m,0.10,36.7,2.0,8.82%,1.78,48.10,34,48.1000000000087
GBPCAD_SB,30m,0.10,36.7,5.0,11.76%,0.98,-3.20,34,-3.1999999999809745
GBPCAD_SB,30m,0.10,36.7,10.0,26.47%,1.21,52.20,34,52.200000000031224
GBPCAD_SB,30m,0.10,36.7,18.0,29.41%,0.78,-93.10,34,-93.10000000000139
GBPCAD_SB,30m,0.10,36.7,34.0,55.88%,1.31,159.20,34,159.19999999999953
GBPCAD_SB,30m,0.10,68.3,2.0,5.88%,2.13,72.60,34,72.60000000000488
GBPCAD_SB,30m,0.10,68.3,5.0,5.88%,0.85,-23.40,34,-23.399999999984544
GBPCAD_SB,30m,0.10,68.3,10.0,8.82%,0.47,-164.80,34,-164.7999999999694
GBPCAD_SB,30m,0.10,68.3,18.0,8.82%,0.26,-412.80,34,-412.80000000001075
GBPCAD_SB,30m,0.10,68.3,34.0,32.35%,0.88,-90.40,34,-90.40000000002794
GBPCAD_SB,30m,0.10,68.3,50.0,44.12%,1.06,51.80,34,51.800000000003934
GBPCAD_SB,30m,0.10,100.0,2.0,2.94%,1.52,34.00,34,34.00000000000736
GBPCAD_SB,30m,0.10,100.0,5.0,2.94%,0.61,-65.00,34,-64.99999999998175
GBPCAD_SB,30m,0.10,100.0,10.0,5.88%,0.34,-211.40,34,-211.39999999996607
GBPCAD_SB,30m,0.10,100.0,18.0,5.88%,0.19,-467.40,34,-467.40000000000873
GBPCAD_SB,30m,0.10,100.0,34.0,26.47%,0.95,-41.40,34,-41.40000000001771
GBPCAD_SB,30m,0.10,100.0,50.0,35.29%,1.04,45.60,34,45.6000000000231
GBPCAD_SB,5m,0.10,5.0,2.0,35.37%,1.37,109.00,229,108.99999999998852
GBPCAD_SB,5m,0.10,10.0,2.0,16.59%,0.99,-2.00,229,-1.999999999998522
GBPCAD_SB,5m,0.10,10.0,5.0,27.51%,0.76,-200.00,229,-199.99999999997613
GBPCAD_SB,5m,0.10,15.0,2.0,10.48%,0.88,-50.00,229,-49.99999999993997
GBPCAD_SB,5m,0.10,15.0,5.0,20.52%,0.77,-205.00,229,-204.99999999987097
GBPCAD_SB,5m,0.10,15.0,10.0,39.30%,0.97,-40.00,229,-39.99999999979559
GBPCAD_SB,5m,0.10,20.0,2.0,8.73%,0.96,-18.00,229,-17.999999999952422
GBPCAD_SB,5m,0.10,20.0,5.0,17.47%,0.85,-145.00,229,-144.99999999989336
GBPCAD_SB,5m,0.10,20.0,10.0,33.19%,0.99,-10.00,229,-9.999999999827878
GBPCAD_SB,5m,0.10,20.0,18.0,48.91%,1.06,134.00,229,133.99999999997272
GBPCAD_SB,5m,0.10,36.7,2.0,3.49%,0.66,-148.40,229,-148.399999999945
GBPCAD_SB,5m,0.10,36.7,5.0,11.35%,0.94,-60.80,229,-60.79999999986967
GBPCAD_SB,5m,0.10,36.7,10.0,25.76%,1.27,465.30,229,465.30000000023074
GBPCAD_SB,5m,0.10,36.7,18.0,36.68%,1.18,472.80,229,472.80000000001746
GBPCAD_SB,5m,0.10,36.7,34.0,50.66%,1.11,415.20,229,415.19999999999163
GBPCAD_SB,5m,0.10,68.3,2.0,1.75%,0.61,-176.80,229,-176.7999999999534
GBPCAD_SB,5m,0.10,68.3,5.0,6.11%,0.89,-118.80,229,-118.79999999989525
GBPCAD_SB,5m,0.10,68.3,10.0,16.59%,1.34,640.90,229,640.9000000001736
GBPCAD_SB,5m,0.10,68.3,18.0,25.76%,1.29,876.40,229,876.3999999998823
GBPCAD_SB,5m,0.10,68.3,34.0,36.68%,1.13,645.70,229,645.6999999997979
GBPCAD_SB,5m,0.10,68.3,50.0,45.85%,1.13,810.00,229,810.00000000002
GBPCAD_SB,5m,0.10,100.0,2.0,1.31%,0.66,-152.00,229,-151.9999999999486
GBPCAD_SB,5m,0.10,100.0,5.0,4.80%,1.01,10.00,229,10.000000000122327
GBPCAD_SB,5m,0.10,100.0,10.0,13.10%,1.47,933.80,229,933.800000000226
GBPCAD_SB,5m,0.10,100.0,18.0,20.09%,1.33,1102.30,229,1102.2999999999415
GBPCAD_SB,5m,0.10,100.0,34.0,28.38%,1.11,620.40,229,620.3999999998641
