Symbol,Timeframe,Lot Size,TP Pips,SL Pips,Win Rate,Profit Factor,Total P/L,Total Trades,Net Pips
EURJPY_SB,1h,0.10,5.0,2.0,63.64%,4.37,27.00,11,0.2699999999890679
EURJPY_SB,1h,0.10,10.0,2.0,63.64%,8.75,62.00,11,0.6200000000006867
EURJPY_SB,1h,0.10,10.0,5.0,63.64%,3.50,50.00,11,0.5000000000080718
EURJPY_SB,1h,0.10,15.0,2.0,63.64%,13.12,97.00,11,0.9699999999924103
EURJPY_SB,1h,0.10,15.0,5.0,63.64%,5.25,85.00,11,0.8499999999997954
EURJPY_SB,1h,0.10,15.0,10.0,63.64%,2.62,65.00,11,0.649999999993156
EURJPY_SB,1h,0.10,20.0,2.0,63.64%,17.50,132.00,11,1.320000000004029
EURJPY_SB,1h,0.10,20.0,5.0,63.64%,7.00,120.00,11,1.2000000000114142
EURJPY_SB,1h,0.10,20.0,10.0,63.64%,3.50,100.00,11,1.0000000000047748
EURJPY_SB,1h,0.10,20.0,18.0,63.64%,1.94,68.00,11,0.6800000000055206
EURJPY_SB,1h,0.10,36.7,2.0,63.64%,32.11,248.90,11,2.488999999997077
EURJPY_SB,1h,0.10,36.7,5.0,63.64%,12.85,236.90,11,2.369000000004462
EURJPY_SB,1h,0.10,36.7,10.0,63.64%,6.42,216.90,11,2.1689999999978227
EURJPY_SB,1h,0.10,36.7,18.0,63.64%,3.57,184.90,11,1.8489999999985685
EURJPY_SB,1h,0.10,36.7,34.0,63.64%,1.89,120.90,11,1.20900000000006
EURJPY_SB,1h,0.10,68.3,2.0,63.64%,59.76,470.10,11,4.701000000002864
EURJPY_SB,1h,0.10,68.3,5.0,63.64%,23.91,458.10,11,4.581000000010249
EURJPY_SB,1h,0.10,68.3,10.0,63.64%,11.95,438.10,11,4.38100000000361
EURJPY_SB,1h,0.10,68.3,18.0,63.64%,6.64,406.10,11,4.061000000004356
EURJPY_SB,1h,0.10,68.3,34.0,63.64%,3.52,342.10,11,3.421000000005847
EURJPY_SB,1h,0.10,68.3,50.0,63.64%,2.39,278.10,11,2.7810000000073387
EURJPY_SB,1h,0.10,100.0,2.0,63.64%,87.50,692.00,11,6.919999999990978
EURJPY_SB,1h,0.10,100.0,5.0,63.64%,35.00,680.00,11,6.799999999998363
EURJPY_SB,1h,0.10,100.0,10.0,63.64%,17.50,660.00,11,6.599999999991724
EURJPY_SB,1h,0.10,100.0,18.0,63.64%,9.72,628.00,11,6.279999999992469
EURJPY_SB,1h,0.10,100.0,34.0,63.64%,5.15,564.00,11,5.639999999993961
EURJPY_SB,1h,0.10,100.0,50.0,63.64%,3.50,500.00,11,4.9999999999954525
EURJPY_SB,4h,0.10,5.0,2.0,60.00%,3.75,11.00,5,0.10999999999512511
EURJPY_SB,4h,0.10,10.0,2.0,60.00%,7.50,26.00,5,0.2600000000001046
EURJPY_SB,4h,0.10,10.0,5.0,60.00%,3.00,20.00,5,0.20000000000379714
EURJPY_SB,4h,0.10,15.0,2.0,60.00%,11.25,41.00,5,0.40999999999655756
EURJPY_SB,4h,0.10,15.0,5.0,60.00%,4.50,35.00,5,0.3500000000002501
EURJPY_SB,4h,0.10,15.0,10.0,60.00%,2.25,25.00,5,0.24999999999693046
EURJPY_SB,4h,0.10,20.0,2.0,60.00%,15.00,56.00,5,0.560000000001537
EURJPY_SB,4h,0.10,20.0,5.0,60.00%,6.00,50.00,5,0.5000000000052296
EURJPY_SB,4h,0.10,20.0,10.0,60.00%,3.00,40.00,5,0.40000000000190994
EURJPY_SB,4h,0.10,20.0,18.0,60.00%,1.67,24.00,5,0.24000000000228283
EURJPY_SB,4h,0.10,36.7,2.0,60.00%,27.52,106.10,5,1.0609999999985575
EURJPY_SB,4h,0.10,36.7,5.0,60.00%,11.01,100.10,5,1.00100000000225
EURJPY_SB,4h,0.10,36.7,10.0,60.00%,5.50,90.10,5,0.9009999999989304
EURJPY_SB,4h,0.10,36.7,18.0,60.00%,3.06,74.10,5,0.7409999999993033
EURJPY_SB,4h,0.10,36.7,34.0,60.00%,1.62,42.10,5,0.4210000000000491
EURJPY_SB,4h,0.10,68.3,2.0,60.00%,51.22,200.90,5,2.0090000000010377
EURJPY_SB,4h,0.10,68.3,5.0,60.00%,20.49,194.90,5,1.9490000000047303
EURJPY_SB,4h,0.10,68.3,10.0,60.00%,10.24,184.90,5,1.8490000000014106
EURJPY_SB,4h,0.10,68.3,18.0,60.00%,5.69,168.90,5,1.6890000000017835
EURJPY_SB,4h,0.10,68.3,34.0,60.00%,3.01,136.90,5,1.3690000000025293
