Symbol,Timeframe,Lot Size,TP Pips,SL Pips,Win Rate,Profit Factor,Total P/L,Total Trades,Net Pips
USDCAD_SB,15m,0.10,5.0,2.0,55.13%,3.07,145.00,78,144.99999999998417
USDCAD_SB,15m,0.10,10.0,2.0,41.03%,3.48,228.00,78,227.999999999975
USDCAD_SB,15m,0.10,10.0,5.0,46.15%,1.71,150.00,78,149.99999999998346
USDCAD_SB,15m,0.10,15.0,2.0,20.51%,1.94,116.00,78,116.00000000002296
USDCAD_SB,15m,0.10,15.0,5.0,32.05%,1.42,110.00,78,110.0000000000432
USDCAD_SB,15m,0.10,15.0,10.0,42.31%,1.10,45.00,78,45.00000000006804
USDCAD_SB,15m,0.10,20.0,2.0,16.67%,2.00,130.00,78,130.00000000001484
USDCAD_SB,15m,0.10,20.0,5.0,28.21%,1.57,160.00,78,160.00000000003098
USDCAD_SB,15m,0.10,20.0,10.0,38.46%,1.25,120.00,78,120.00000000005286
USDCAD_SB,15m,0.10,20.0,18.0,51.28%,1.17,116.00,78,115.99999999999159
USDCAD_SB,15m,0.10,36.7,2.0,8.97%,1.81,114.90,78,114.90000000002027
USDCAD_SB,15m,0.10,36.7,5.0,17.95%,1.61,193.80,78,193.80000000004395
USDCAD_SB,15m,0.10,36.7,10.0,25.64%,1.27,154.00,78,154.00000000007606
USDCAD_SB,15m,0.10,36.7,18.0,34.62%,1.08,72.90,78,72.90000000000498
USDCAD_SB,15m,0.10,36.7,34.0,47.44%,0.99,-15.80,78,-15.800000000002456
USDCAD_SB,15m,0.10,68.3,2.0,7.69%,2.85,265.80,78,265.8000000000097
USDCAD_SB,15m,0.10,68.3,5.0,11.54%,1.78,269.70,78,269.70000000002835
USDCAD_SB,15m,0.10,68.3,10.0,15.38%,1.24,159.60,78,159.60000000005982
USDCAD_SB,15m,0.10,68.3,18.0,23.08%,1.14,149.40,78,149.39999999996644
USDCAD_SB,15m,0.10,68.3,34.0,35.90%,1.12,201.10,78,201.09999999993784
USDCAD_SB,15m,0.10,68.3,50.0,41.03%,0.96,-93.70,78,-93.69999999998663
USDCAD_SB,15m,0.10,100.0,2.0,7.69%,4.17,456.00,78,456.0000000000167
USDCAD_SB,15m,0.10,100.0,5.0,11.54%,2.61,555.00,78,555.000000000039
USDCAD_SB,15m,0.10,100.0,10.0,14.10%,1.64,430.00,78,430.00000000007503
USDCAD_SB,15m,0.10,100.0,18.0,21.79%,1.55,602.00,78,601.999999999987
USDCAD_SB,15m,0.10,100.0,34.0,28.21%,1.14,253.00,78,252.9999999999652
USDCAD_SB,15m,0.10,100.0,50.0,33.33%,1.00,-11.00,78,-10.999999999944976
