Symbol,Timeframe,Lot Size,TP Pips,SL Pips,Win Rate,Profit Factor,Total P/L,Total Trades,Net Pips
EURCHF_SB,30m,0.10,5.0,2.0,77.78%,8.75,93.00,27,92.99999999998971
EURCHF_SB,30m,0.10,10.0,2.0,59.26%,7.27,138.00,27,138.00000000000256
EURCHF_SB,30m,0.10,10.0,5.0,66.67%,4.00,135.00,27,135.00000000000512
EURCHF_SB,30m,0.10,15.0,2.0,44.44%,6.00,150.00,27,149.9999999999968
EURCHF_SB,30m,0.10,15.0,5.0,51.85%,3.23,145.00,27,144.9999999999996
EURCHF_SB,30m,0.10,15.0,10.0,55.56%,1.87,105.00,27,104.99999999999174
EURCHF_SB,30m,0.10,20.0,2.0,25.93%,3.50,100.00,27,100.00000000000452
EURCHF_SB,30m,0.10,20.0,5.0,37.04%,2.35,115.00,27,115.00000000000959
EURCHF_SB,30m,0.10,20.0,10.0,44.44%,1.60,90.00,27,90.00000000000011
EURCHF_SB,30m,0.10,20.0,18.0,59.26%,1.62,122.00,27,121.9999999999977
EURCHF_SB,30m,0.10,36.7,2.0,18.52%,4.17,139.50,27,139.5000000000024
EURCHF_SB,30m,0.10,36.7,5.0,22.22%,2.10,115.20,27,115.20000000000867
EURCHF_SB,30m,0.10,36.7,10.0,29.63%,1.55,103.60,27,103.59999999999596
EURCHF_SB,30m,0.10,36.7,18.0,44.44%,1.72,184.50,27,184.49999999999096
EURCHF_SB,30m,0.10,36.7,34.0,55.56%,1.46,172.60,27,172.59999999999718
EURCHF_SB,30m,0.10,68.3,2.0,3.70%,1.31,16.30,27,16.300000000005753
EURCHF_SB,30m,0.10,68.3,5.0,7.41%,1.09,11.60,27,11.600000000013878
EURCHF_SB,30m,0.10,68.3,10.0,11.11%,0.85,-35.10,27,-35.10000000000005
EURCHF_SB,30m,0.10,68.3,18.0,18.52%,0.74,-99.30,27,-99.30000000000535
EURCHF_SB,30m,0.10,68.3,34.0,37.04%,1.14,76.20,27,76.20000000000618
EURCHF_SB,30m,0.10,68.3,50.0,37.04%,0.80,-156.60,27,-156.60000000000093
EURCHF_SB,30m,0.10,100.0,2.0,3.70%,1.92,48.00,27,48.00000000000581
EURCHF_SB,30m,0.10,100.0,5.0,7.41%,1.60,75.00,27,75.000000000014
EURCHF_SB,30m,0.10,100.0,10.0,11.11%,1.25,60.00,27,60.000000000000085
EURCHF_SB,30m,0.10,100.0,18.0,14.81%,0.77,-90.50,27,-90.50000000000546
EURCHF_SB,30m,0.10,100.0,34.0,14.81%,0.41,-442.50,27,-442.49999999999113
EURCHF_SB,30m,0.10,100.0,50.0,14.81%,0.31,-694.40,27,-694.4000000000013
EURCHF_SB,5m,0.10,5.0,2.0,35.77%,1.39,138.00,274,137.99999999998522
