Symbol,Timeframe,Lot Size,TP Pips,SL Pips,Win Rate,Profit Factor,Total P/L,Total Trades,Net Pips
NZDUSD_SB,1h,0.10,5.0,2.0,40.00%,1.67,4.00,5,3.9999999999995595
NZDUSD_SB,1h,0.10,10.0,2.0,20.00%,1.25,2.00,5,2.00000000000089
NZDUSD_SB,1h,0.10,10.0,5.0,40.00%,1.33,5.00,5,5.00000000000167
NZDUSD_SB,1h,0.10,15.0,2.0,0.00%,-0.00,-10.00,5,-9.999999999998899
NZDUSD_SB,1h,0.10,15.0,5.0,0.00%,-0.00,-25.00,5,-24.999999999997247
NZDUSD_SB,1h,0.10,15.0,10.0,40.00%,1.00,-0.00,5,-0.0000000000011119993814645568
NZDUSD_SB,1h,0.10,20.0,2.0,0.00%,-0.00,-10.00,5,-9.999999999998899
NZDUSD_SB,1h,0.10,20.0,5.0,0.00%,-0.00,-25.00,5,-24.999999999997247
NZDUSD_SB,1h,0.10,20.0,10.0,40.00%,1.33,10.00,5,10.000000000000007
NZDUSD_SB,1h,0.10,20.0,18.0,40.00%,0.74,-14.00,5,-14.000000000000675
NZDUSD_SB,1h,0.10,36.7,2.0,0.00%,-0.00,-10.00,5,-9.999999999998899
NZDUSD_SB,1h,0.10,36.7,5.0,0.00%,-0.00,-25.00,5,-24.999999999997247
NZDUSD_SB,1h,0.10,36.7,10.0,40.00%,2.45,43.40,5,43.399999999999
NZDUSD_SB,1h,0.10,36.7,18.0,40.00%,1.36,19.40,5,19.399999999998315
NZDUSD_SB,1h,0.10,36.7,34.0,60.00%,1.62,42.10,5,42.09999999999937
NZDUSD_SB,1h,0.10,68.3,2.0,0.00%,-0.00,-10.00,5,-9.999999999998899
NZDUSD_SB,1h,0.10,68.3,5.0,0.00%,-0.00,-25.00,5,-24.999999999997247
NZDUSD_SB,1h,0.10,68.3,10.0,40.00%,4.55,106.60,5,106.60000000000002
NZDUSD_SB,1h,0.10,68.3,18.0,40.00%,2.53,82.60,5,82.59999999999934
NZDUSD_SB,1h,0.10,68.3,34.0,40.00%,1.34,34.60,5,34.60000000000129
NZDUSD_SB,1h,0.10,68.3,50.0,40.00%,0.91,-13.40,5,-13.400000000000063
NZDUSD_SB,1h,0.10,100.0,2.0,0.00%,-0.00,-10.00,5,-9.999999999998899
