entry_time,symbol,timeframe,zone_id,action,entry_price,exit_time,exit_price,exit_reason,pnl_pips,duration_minutes,zone_strength,validation_reason
2025-06-13T00:28:00+00:00,GBPCAD,1h,41f83f42ce968666,SELL,1.85113,2025-06-13T04:15:00+00:00,1.84579,TP_HIT,53.4,227,100.0,Trade executed successfully
2025-06-13T05:42:00+00:00,USDCHF,30m,8a9ab47b7856dcc1,BUY,0.81021,,,VALIDATION_FAILED,,,90.0,Zone strength 90.0 below minimum 100.0
2025-06-13T05:22:00+00:00,GBPJPY,30m,14c0a27651aaca0e,BUY,194.572,2025-06-13T05:52:00+00:00,194.316,SL_HIT,-25.6,30,100.0,Trade executed successfully
2025-06-13T03:59:00+00:00,GBPCHF,30m,dd91011a3922d5dc,BUY,1.09649,2025-06-13T08:57:00+00:00,1.10174,TP_HIT,52.5,298,100.0,Trade executed successfully
2025-06-13T08:37:00+00:00,EURGBP,1h,4abdd7b2bf979185,SELL,0.85057,,,STILL_OPEN,4.8,203,100.0,Still open at analysis end
